"","ResponseId","income","exp1_tech_cons"
"1794","R_2BqXj00V6a7wuoy","600€ or less","600€ or less"
"1795","R_1OiVBByDeRLtBhk","1.201€ - 1.500€","1.201€ - 1.500€"
"1796","R_2lOlWX7Ik1fGmeB","600€ or less","600€ or less"
"1797","R_2uQIhEOTtQ7t0wy","1.501€ - 1.800€","1.501€ - 1.800€"
"1798","R_3oTOt6OUybhl2bK","2.101€ - 2.400€","2.101€ - 2.400€"
"1799","R_zTriZU6VQHcvusV","600€ or less","600€ or less"
"1800","R_2AZ07BZWKXFbnF0","601€ - 900€","601€ - 900€"
"1801","R_PUpFiFBgWDoN2nL","600€ or less","600€ or less"
"1802","R_2zUqBPp0Ly17jXE","600€ or less","600€ or less"
"1803","R_1176KSN0RE1OFEz","1.801€ - 2.100€","1.801€ - 2.100€"
"1804","R_3GrzLHS2gSLuTFk","600€ or less","600€ or less"
"1805","R_pADWuLROmoQMCat","600€ or less","600€ or less"
"1806","R_271Da6xCFnEpSEQ","2.301€ - 2.750€","2.301€ - 2.750€"
"1807","R_xosXciT5NqvHCE1","1.501€ - 1.800€","1.501€ - 1.800€"
"1808","R_1Eb9clwUL42JLrX","1.501€ - 1.800€","1.501€ - 1.800€"
"1809","R_2s7T612gUb9Oz7D","600€ or less","600€ or less"
"1810","R_11Xw4p5PZ0KMxWI","600€ or less","600€ or less"
"1811","R_1N1XjCDh2TdbOcg","2.751€ - 3.550€","2.751€ - 3.550€"
"1812","R_TcRqC3ibcVOm9Tr","601€ - 900€","601€ - 900€"
"1813","R_3NVZWu0PWMW8Anw","1.501€ - 1.800€","1.501€ - 1.800€"
"1814","R_tDL6325BaLFvZE5","600€ or less","600€ or less"
"1815","R_5ywvbAZ9sOckhYR","1.201€ - 1.500€","1.201€ - 1.500€"
"1816","R_2OI5zpWlG1PGXzG","600€ or less","600€ or less"
"1817","R_3NZZtNjvEqTtI35","1.201€ - 1.500€","1.201€ - 1.500€"
"1818","R_2tm3JmQBtU93RL3","1.201€ - 1.500€","1.201€ - 1.500€"
"1819","R_ulvia3K23nRi7jb","600€ or less","600€ or less"
"1820","R_1ocABZctepVMRxG","901€ - 1.200€","901€ - 1.200€"
"1821","R_3rOEtM5WzJlOQDS","600€ or less","600€ or less"
"1822","R_2Y3P4pRkUzloNST","601€ - 900€","601€ - 900€"
"1823","R_UtP2dl0vEk4HpW9","600€ or less","600€ or less"
"1824","R_RRzq5DKkWQBqZEZ","1.201€ - 1.500€","1.201€ - 1.500€"
"1825","R_3hbVOWPKniDA5a0","600€ or less","600€ or less"
"1826","R_b3MMvDwZP9O4GaJ","1.201€ - 1.500€","1.201€ - 1.500€"
"1827","R_1Qlt3J9EjQnKWbi","600€ or less","600€ or less"
"1828","R_2rH0gvlx3TpyUP4","600€ or less","600€ or less"
"1829","R_10w5Df5EwYNNzAB","600€ or less","600€ or less"
"1830","R_XGQvRZ1Q5Myqv9D","2.301€ - 2.750€","2.301€ - 2.750€"
"1831","R_3EPSHJQlBbPlt4R","1.801€ - 2.100€","1.801€ - 2.100€"
"1832","R_3oABdvVtp6UBozK","901€ - 1.200€","901€ - 1.200€"
"1833","R_Z1p36kUo4Gd6GXf","600€ or less","600€ or less"
"1834","R_1ruexCxdK6ic2gl","1.501€ - 1.800€","1.501€ - 1.800€"
"1835","R_3JKKXY9ivzeDaSR","1.201€ - 1.500€","1.201€ - 1.500€"
"1836","R_UmSFSEYSGN2IIr7","600€ or less","600€ or less"
"1837","R_30nR0G7YgSQ4iVj","601€ - 900€","601€ - 900€"
"1838","R_3g0BELwgXwAtsiF","600€ or less","600€ or less"
"1839","R_1ff3ep9LXSU68nN","600€ or less","600€ or less"
"1840","R_2dtZheDLQSCslEs","901€ - 1.200€","901€ - 1.200€"
"1841","R_sZmzjUrno7fRJAd","1.801€ - 2.100€","1.801€ - 2.100€"
"1842","R_2wiZFEzp8I87tPF","1.201€ - 1.500€","1.201€ - 1.500€"
"1843","R_3NJqTl9XTfoWDUR","1.501€ - 1.800€","1.501€ - 1.800€"
"1844","R_1NzDS2kTamXKnwe","600€ or less","600€ or less"
"1845","R_3kBUexZHcnbRRVu","1.201€ - 1.500€","1.201€ - 1.500€"
"1846","R_1QKn5CixfkMFeEp","More than 3.550€","More than 3.550€"
"1847","R_s7KL3hvyxHQGkOB","901€ - 1.200€","901€ - 1.200€"
"1848","R_2YYwZrZjtGKcY1G","1.201€ - 1.500€","1.201€ - 1.500€"
"1849","R_2Bhu2IAAD3f39g3","1.201€ - 1.500€","1.201€ - 1.500€"
"1850","R_2rjOxN3v3CDJyQr","2.301€ - 2.750€","2.301€ - 2.750€"
"1851","R_2wv1XcJDv33O2bu","600€ or less","600€ or less"
"1852","R_1oEY5Q2TweaksCd","901€ - 1.200€","901€ - 1.200€"
"1853","R_3oyzrM3zBbBN5Mx","1.501€ - 1.800€","1.501€ - 1.800€"
"1854","R_2X7pUYJuqTQrS6k","1.201€ - 1.500€","1.201€ - 1.500€"
"1855","R_3QPp8Uv6ehT9aY7","600€ or less","600€ or less"
"1856","R_cT0OizrWkMVLdW9","1.201€ - 1.500€","1.201€ - 1.500€"
"1857","R_DquAA3oFqgPgjTj","2.751€ - 3.550€","2.751€ - 3.550€"
"1858","R_3iOtD2bSA9A9toi","1.501€ - 1.800€","1.501€ - 1.800€"
"1859","R_3MQmdRragre0SEC","600€ or less","600€ or less"
"1860","R_elmNCR6DhUzyu09","600€ or less","600€ or less"
"1861","R_TaWwBdD5g91Ml0t","600€ or less","600€ or less"
"1862","R_1QJDlgZ80hTeKpt","600€ or less","600€ or less"
"1863","R_ZCNWYspPw79JwWd","2.751€ - 3.550€","2.751€ - 3.550€"
"1864","R_2fpbpcqUaTFytl0","601€ - 900€","601€ - 900€"
"1865","R_RfsH7fcriJVNL57","600€ or less","600€ or less"
"1866","R_1H1qEs5iolwrBbT","2.751€ - 3.550€","2.751€ - 3.550€"
"1867","R_1hKY3zAlOAb2p6u","600€ or less","600€ or less"
"1868","R_1JXjtvmvyehLUn6","1.501€ - 1.800€","1.501€ - 1.800€"
"1869","R_2aRHkKjclYuJth1","601€ - 900€","601€ - 900€"
"1870","R_2zr6vVB5bsgLJh4","601€ - 900€","601€ - 900€"
"1871","R_s4D3nyMXNuWjV1T","1.501€ - 1.800€","1.501€ - 1.800€"
"1872","R_vOZf67w2i1JwDHH","1.201€ - 1.500€","1.201€ - 1.500€"
"1873","R_12opiJYWqW1hx2c","901€ - 1.200€","901€ - 1.200€"
"1874","R_1F3qfySwAOqqG9Y","1.201€ - 1.500€","1.201€ - 1.500€"
"1875","R_1jrgh20DQHDd0eT","1.201€ - 1.500€","1.201€ - 1.500€"
"1876","R_29hmRGJ5eEHyJAX","901€ - 1.200€","901€ - 1.200€"
"1877","R_30qShapDyP5wdKw","600€ or less","600€ or less"
"1878","R_yPETJleK5fFnCDv","1.501€ - 1.800€","1.501€ - 1.800€"
"1879","R_ugnKwuSttTiCYzD","1.501€ - 1.800€","1.501€ - 1.800€"
"1880","R_7aOaAPxjElIYpWN","601€ - 900€","601€ - 900€"
"1881","R_1GIgK9Ol4sczxw9","600€ or less","600€ or less"
"1882","R_3p6dknZvY1VoWjO","1.501€ - 1.800€","1.501€ - 1.800€"
"1883","R_3RxteohQQNqtul0","901€ - 1.200€","901€ - 1.200€"
"1884","R_agVczqDj4FljLY5","600€ or less","600€ or less"
"1885","R_2q9ONIrg5g4Lvrw","600€ or less","600€ or less"
"1886","R_3izmXc6uSTnc5VF","1.801€ - 2.100€","1.801€ - 2.100€"
"1887","R_1mOFGOIdOi1tTHy","600€ or less","600€ or less"
"1888","R_DJf29tNkqDM5BKN","600€ or less","600€ or less"
"1889","R_4UWf5p6VHueovKx","600€ or less","600€ or less"
"1890","R_77dMaukdK2qCvrH","600€ or less","600€ or less"
"1891","R_2QoCXpRFff0h7zj","1.201€ - 1.500€","1.201€ - 1.500€"
"1892","R_2QRPHWk7KAQorVd","1.201€ - 1.500€","1.201€ - 1.500€"
"1893","R_5jwT6v5JYaUhQXf","1.501€ - 1.800€","1.501€ - 1.800€"
"1894","R_2rxaYK0wl9m3d1i","1.201€ - 1.500€","1.201€ - 1.500€"
"1895","R_2zqk6lTO4MNDQcX","1.801€ - 2.100€","1.801€ - 2.100€"
"1896","R_pMEqMlriUqfgaVX","901€ - 1.200€","901€ - 1.200€"
"1897","R_1CedVO5g1z1HetT","600€ or less","600€ or less"
"1898","R_1cXNYfySIr9oiZI","1.201€ - 1.500€","1.201€ - 1.500€"
"1899","R_2R8v06eT8s7cO04","601€ - 900€","601€ - 900€"
"1900","R_2V3ePbKtJKRB8gU","1.201€ - 1.500€","1.201€ - 1.500€"
"1901","R_3DefGEHqXTNzaMQ","601€ - 900€","601€ - 900€"
"1902","R_1dslzAEX66Z08N8","601€ - 900€","601€ - 900€"
"1903","R_2whLIzWcztU3t0q","600€ or less","600€ or less"
"1904","R_AbqdyM6F4goqgwN","600€ or less","600€ or less"
"1905","R_reYTs1YoVKCWigF","2.751€ - 3.550€","2.751€ - 3.550€"
"1906","R_3shu4hzmZ6Ewr7F","600€ or less","600€ or less"
"1907","R_OsazwZTXfrXDrYl","601€ - 900€","601€ - 900€"
"1908","R_28U3SjpYLK9CvNO","601€ - 900€","601€ - 900€"
"1909","R_UcInoEL98UhRwch","1.501€ - 1.800€","1.501€ - 1.800€"
"1910","R_3prokPr1E9jde5J","600€ or less","600€ or less"
"1911","R_sNgfatSXpf56xZn","600€ or less","600€ or less"
"1912","R_3NHVd3uZOwC7KtM","1.501€ - 1.800€","1.501€ - 1.800€"
"1913","R_z7jHRZJAIoCKBMZ","600€ or less","600€ or less"
"1914","R_bOvht8EZNjy4Ulb","2.751€ - 3.550€","2.751€ - 3.550€"
"1915","R_3HoVnaiYDbFg9xo","2.101€ - 2.400€","2.101€ - 2.400€"
"1916","R_25WQ9GGhXx3tEFM","2.301€ - 2.750€","2.301€ - 2.750€"
"1917","R_3QWYEDhq8RZHHK2","600€ or less","600€ or less"
"1918","R_27KIVWVbcdA04lX","2.101€ - 2.400€","2.101€ - 2.400€"
"1919","R_1pEvAkmlrQTaTee","600€ or less","600€ or less"
"1920","R_3RpGa6GcWYEzOXo","1.201€ - 1.500€","1.201€ - 1.500€"
"1921","R_21vP3qkksEPWglK","901€ - 1.200€","901€ - 1.200€"
"1922","R_sAvERhRXvU6q3ap","1.801€ - 2.100€","1.801€ - 2.100€"
"1923","R_TngoRMlkXlUAgDL","901€ - 1.200€","901€ - 1.200€"
"1924","R_3CDTxj2yGCsC4go","901€ - 1.200€","901€ - 1.200€"
"1925","R_822N2kP73wFpaxP","600€ or less","600€ or less"
"1926","R_1dzehkjWjeKL2cF","1.801€ - 2.100€","1.801€ - 2.100€"
"1927","R_1r7DFJ0GF9lUGOd","601€ - 900€","601€ - 900€"
"1928","R_3kdmqc9rvCJQkSP","601€ - 900€","601€ - 900€"
"1929","R_ZEtb0tsJugGfuQF","1.501€ - 1.800€","1.501€ - 1.800€"
"1930","R_1ADxez5Zad5UYXT","600€ or less","600€ or less"
"1931","R_2OSCvunDtneNTEE","600€ or less","600€ or less"
"1932","R_3KGZYLDqMFIUYyX","600€ or less","600€ or less"
"1933","R_AoK6dWzFXyoMLjb","901€ - 1.200€","901€ - 1.200€"
"1934","R_1mDgCEChfhrvjT3","600€ or less","600€ or less"
"1935","R_2thstSJ51VQhzDH","901€ - 1.200€","901€ - 1.200€"
"1936","R_2Vyy0AzYPF4fkA1","1.801€ - 2.100€","1.801€ - 2.100€"
"1937","R_DvHjmYB2exK2pwd","600€ or less","600€ or less"
"1938","R_1rHaUnmxuBTpbWo","600€ or less","600€ or less"
"1939","R_3lKuWG2A5Nz032t","1.501€ - 1.800€","1.501€ - 1.800€"
"1940","R_bJm7u2X3qN2UMql","901€ - 1.200€","901€ - 1.200€"
"1941","R_3GlZ5Adr6X5Wuyg","600€ or less","600€ or less"
"1942","R_Bswa8OF8xoi58Bj","2.751€ - 3.550€","2.751€ - 3.550€"
"1943","R_2qxD3il5990Qtxn","600€ or less","600€ or less"
"1944","R_3EFujn0RoxlQQ8J","601€ - 900€","601€ - 900€"
"1945","R_1QcsCTsBgaJSwpM","600€ or less","600€ or less"
"1946","R_1I76hiQoAca4FpW","2.301€ - 2.750€","2.301€ - 2.750€"
"1947","R_1DBiYY10xehe07H","600€ or less","600€ or less"
"1948","R_yjr1qINJ6VKtB85","901€ - 1.200€","901€ - 1.200€"
"1949","R_3PNQn5Z4fOTUPog","600€ or less","600€ or less"
"1950","R_3h6EVBGowxBpaMw","901€ - 1.200€","901€ - 1.200€"
"1951","R_123hnquqiU9wYj0","1.201€ - 1.500€","1.201€ - 1.500€"
"1952","R_2vYUiu0kujYUAi1","901€ - 1.200€","901€ - 1.200€"
"1953","R_3kGKXyZWUL8h026","600€ or less","600€ or less"
"1954","R_3rSODePoKvt3eCw","901€ - 1.200€","901€ - 1.200€"
"1955","R_2rhWZFKpaS4Hvou","1.201€ - 1.500€","1.201€ - 1.500€"
"1956","R_3esEP6hhoxLBluI","1.501€ - 1.800€","1.501€ - 1.800€"
"1957","R_10pwyVJ4x9wRmy1","1.801€ - 2.100€","1.801€ - 2.100€"
"1958","R_3hnGVJsce4qnus6","600€ or less","600€ or less"
"1959","R_XvKogkWOrAIvwR3","1.801€ - 2.100€","1.801€ - 2.100€"
"1960","R_3mdEyMFS79MjRbZ","1.501€ - 1.800€","1.501€ - 1.800€"
"1961","R_32K3pMWANIMW86T","1.201€ - 1.500€","1.201€ - 1.500€"
"1962","R_3NxoDCEwwGWskVt","901€ - 1.200€","901€ - 1.200€"
"1963","R_3fOZ94bOY3wWCCn","601€ - 900€","601€ - 900€"
"1964","R_1rcCyVt4NWWrY4I","1.201€ - 1.500€","1.201€ - 1.500€"
"1965","R_10qNGMH0YItFz5a","2.751€ - 3.550€","2.751€ - 3.550€"
"1966","R_12lumnYvKSDniUZ","601€ - 900€","601€ - 900€"
"1967","R_2ab2oFrVpo51DAJ","901€ - 1.200€","901€ - 1.200€"
"1968","R_2WSiT8k6LEUGNL0","2.301€ - 2.750€","2.301€ - 2.750€"
"1969","R_2QzlwpYFxa2lQ8Q","601€ - 900€","601€ - 900€"
"1970","R_3HRBph87TgOGb3E","601€ - 900€","601€ - 900€"
"1971","R_1okkBAL3rTcIxhv","1.201€ - 1.500€","1.201€ - 1.500€"
"1972","R_2bJ0UXcaaChPLpk","2.751€ - 3.550€","2.751€ - 3.550€"
"1973","R_2pMHyRfTw9dFwKD","601€ - 900€","601€ - 900€"
"1974","R_2cbdu9I7xaPvZxW","901€ - 1.200€","901€ - 1.200€"
"1975","R_2Svh9Pgd0FuYbSz","2.751€ - 3.550€","2.751€ - 3.550€"
"1976","R_2ZKv37PNWmNVuVm","1.201€ - 1.500€","1.201€ - 1.500€"
"1977","R_dcooYq4EpSM4VS9","600€ or less","600€ or less"
"1978","R_Oa5TiuITo03KFix","600€ or less","600€ or less"
"1979","R_1OVarHpRS2KW89p","601€ - 900€","601€ - 900€"
"1980","R_2TRhkfe72VVk3OS","601€ - 900€","601€ - 900€"
"1981","R_1i8aUcvAL8ZXKuf","600€ or less","600€ or less"
"1982","R_1Cr4ytMOegRCpQU","601€ - 900€","601€ - 900€"
"1983","R_OQetZWonsvTLS81","601€ - 900€","601€ - 900€"
"1984","R_3hhAQkGoomVntmc","600€ or less","600€ or less"
"1985","R_2wG2lRDIFgxSvy0","1.201€ - 1.500€","1.201€ - 1.500€"
"1986","R_2QLJXRJzHW5LucV","901€ - 1.200€","901€ - 1.200€"
"1987","R_qLyAhb0gEoI6LgR","1.501€ - 1.800€","1.501€ - 1.800€"
"1988","R_ZdXWFVHrnzZwvWF","601€ - 900€","601€ - 900€"
"1989","R_3DvVQbLz9KH4tRr","1.501€ - 1.800€","1.501€ - 1.800€"
"1990","R_2S8rCTRCid5kPbg","601€ - 900€","601€ - 900€"
"1991","R_3KpuqxL3rbjVaF3","1.201€ - 1.500€","1.201€ - 1.500€"
"1992","R_21uE2uwl8U01l0F","600€ or less","600€ or less"
"1993","R_sUyyTvwXDK0Ejsd","1.801€ - 2.100€","1.801€ - 2.100€"
"1994","R_294Y83LPJKKi4JX","901€ - 1.200€","901€ - 1.200€"
"1995","R_2EiQc8ztE3wkbQA","600€ or less","600€ or less"
"1996","R_1IuT7IGFWJZPjYt","600€ or less","600€ or less"
"1997","R_12hbMpXVjYkCwVg","1.201€ - 1.500€","1.201€ - 1.500€"
"1998","R_2dutsQgZrepy3vs","601€ - 900€","601€ - 900€"
"1999","R_uf9mYxLyMdE4nlL","1.201€ - 1.500€","1.201€ - 1.500€"
"2000","R_1BRAvV7VEwpRVW0","601€ - 900€","601€ - 900€"
"2001","R_VHXT7HrDHNOxoMF","1.201€ - 1.500€","1.201€ - 1.500€"
"2002","R_3qNyixNkAkAFYQC","600€ or less","600€ or less"
"2003","R_1gj6zgeuaTcGSwb","1.801€ - 2.100€","1.801€ - 2.100€"
"2004","R_28BBXxQ8erNCLHG","1.501€ - 1.800€","1.501€ - 1.800€"
"2005","R_3oWTZWDly0dwcXe","1.201€ - 1.500€","1.201€ - 1.500€"
"2006","R_1FIWCyyTu2Zrkbh","600€ or less","600€ or less"
"2007","R_2TIhylsSIu5LlBM","600€ or less","600€ or less"
"2008","R_2uBxJL8nXr4LtVI","901€ - 1.200€","901€ - 1.200€"
"2009","R_Z3PVS9M4YCNGoBb","601€ - 900€","601€ - 900€"
"2010","R_1mJf6fKxG9gJ6tJ","1.201€ - 1.500€","1.201€ - 1.500€"
"2011","R_1LHEAawpAnO7GIt","1.201€ - 1.500€","1.201€ - 1.500€"
"2012","R_1oF5lkmRzpDNIbv","601€ - 900€","601€ - 900€"
"2013","R_cVeF80n0ucyqIXn","600€ or less","600€ or less"
"2014","R_1HoB1BVplxdg5WT","601€ - 900€","601€ - 900€"
"2015","R_2Ra0uONHtNknr4m","901€ - 1.200€","901€ - 1.200€"
"2016","R_1Lcb4GiKeFzmEbS","601€ - 900€","601€ - 900€"
"2017","R_Rf1R9FFwJFRVlGV","1.501€ - 1.800€","1.501€ - 1.800€"
"2018","R_u9UmjXHp3R2raX7","600€ or less","600€ or less"
"2019","R_3EtAMV9Fosdp9ai","1.501€ - 1.800€","1.501€ - 1.800€"
"2020","R_oZSPi0vWWzr4kTf","601€ - 900€","601€ - 900€"
"2021","R_2fHC7EYq7ouKP7d","601€ - 900€","601€ - 900€"
"2022","R_233k7fnEOchXaNi","901€ - 1.200€","901€ - 1.200€"
"2023","R_1lyrprDpu691PSz","1.201€ - 1.500€","1.201€ - 1.500€"
"2024","R_307W4JS4dTKR7Oc","1.501€ - 1.800€","1.501€ - 1.800€"
"2025","R_2YxrmFx1z0rgusY","1.201€ - 1.500€","1.201€ - 1.500€"
"2026","R_2s1DjxjflI5Wl6a","1.201€ - 1.500€","1.201€ - 1.500€"
"2027","R_2dsEKDHW1h5qKOu","1.501€ - 1.800€","1.501€ - 1.800€"
"2028","R_1Fy43mbUFLUfRQ8","600€ or less","600€ or less"
"2029","R_1NyMEq60AX1na2n","901€ - 1.200€","901€ - 1.200€"
"2030","R_1igplJxuOylR2Te","1.501€ - 1.800€","1.501€ - 1.800€"
"2031","R_1K6XHHv872j8IFw","1.501€ - 1.800€","1.501€ - 1.800€"
"2032","R_2qwwVdFZPqsQXHZ","1.201€ - 1.500€","1.201€ - 1.500€"
"2033","R_2P75W3YRG4z1Pdx","601€ - 900€","601€ - 900€"
"2034","R_2YnCGxZ0IwMRnTw","2.751€ - 3.550€","2.751€ - 3.550€"
"2035","R_djxDoJIgeeP6uOd","600€ or less","600€ or less"
"2036","R_Z2h2pxxqiR937kl","1.201€ - 1.500€","1.201€ - 1.500€"
"2037","R_1Ny25cpwPMIXSZi","601€ - 900€","601€ - 900€"
"2038","R_1n9qIqZvvguI0y1","1.801€ - 2.100€","1.801€ - 2.100€"
"2039","R_z84PnpE6qecuri9","601€ - 900€","601€ - 900€"
"2040","R_bkJmdqUvjuracGB","1.201€ - 1.500€","1.201€ - 1.500€"
"2041","R_1Hbg1gFwFHNuPva","901€ - 1.200€","901€ - 1.200€"
"2042","R_1CBkZPN4hEJxw81","600€ or less","600€ or less"
"2043","R_116gf46vchAfErT","601€ - 900€","601€ - 900€"
"2044","R_w5yQcEIepTUujSh","901€ - 1.200€","901€ - 1.200€"
"2045","R_3iUKJWAPTPcTWd7","600€ or less","600€ or less"
"2046","R_bIvvqmB1Gzwky3v","600€ or less","600€ or less"
"2047","R_RsqvQkuXcSiHGKd","1.201€ - 1.500€","1.201€ - 1.500€"
"2048","R_2QM19PDDBYiJw35","1.501€ - 1.800€","1.501€ - 1.800€"
"2049","R_3MhUOXElLu8RiDR","600€ or less","600€ or less"
"2050","R_2TnIo7WPQFk6K4D","600€ or less","600€ or less"
"2051","R_1LpVrDPxq4vX2m1","1.801€ - 2.100€","1.801€ - 2.100€"
"2052","R_2S9yXf2gJcodeGk","1.501€ - 1.800€","1.501€ - 1.800€"
"2053","R_3enopNNPzrwmZaP","600€ or less","600€ or less"
"2054","R_1mg89NOoitIfuxS","901€ - 1.200€","901€ - 1.200€"
"2055","R_1mVDJeHFK2pZKgm","2.751€ - 3.550€","2.751€ - 3.550€"
"2056","R_1IcPtsFtEsifWvk","600€ or less","600€ or less"
"2057","R_VKGuAtpDEw0BKlX","1.201€ - 1.500€","1.201€ - 1.500€"
"2058","R_1IYNARoEqItaeWN","600€ or less","600€ or less"
"2059","R_D18suQaxg342yDn","600€ or less","600€ or less"
"2060","R_3CZej3WVu987q5L","1.501€ - 1.800€","1.501€ - 1.800€"
"2061","R_3D2rLgWsiuVSpIE","1.801€ - 2.100€","1.801€ - 2.100€"
"2062","R_1DA2wXzr8uMjJZp","901€ - 1.200€","901€ - 1.200€"
"2063","R_cNQeOQTYBEXcC0V","600€ or less","600€ or less"
"2064","R_1FbI6iqEXj2FyUg","600€ or less","600€ or less"
"2065","R_d52aLZAQb0eioF3","600€ or less","600€ or less"
"2066","R_T6fvQI6b21fjzeV","1.501€ - 1.800€","1.501€ - 1.800€"
"2067","R_2Y5F45uDP63QD5a","600€ or less","600€ or less"
"2068","R_2z8TWPFkIlp9GMd","901€ - 1.200€","901€ - 1.200€"
"2069","R_2zdmk0lLaJuJFGQ","1.801€ - 2.100€","1.801€ - 2.100€"
"2070","R_Zsre5o35W3Qawud","601€ - 900€","601€ - 900€"
"2071","R_2zpRftkZBX0EcrY","1.501€ - 1.800€","1.501€ - 1.800€"
"2072","R_2cvAXCO9OZlk7yp","600€ or less","600€ or less"
"2073","R_YPjVpKRpk4A6SLn","2.101€ - 2.400€","2.101€ - 2.400€"
"2074","R_2CwvsJPNlFKtjqU","600€ or less","600€ or less"
"2075","R_3fGGjrmLyzcxYUk","2.101€ - 2.400€","2.101€ - 2.400€"
"2076","R_3HIC6jAbdaQlN4N","1.501€ - 1.800€","1.501€ - 1.800€"
"2077","R_1QFVm7PjK31Ngs7","600€ or less","600€ or less"
"2078","R_1Ouz26rIyhCW1qo","901€ - 1.200€","901€ - 1.200€"
"2079","R_57KGLwiUQNkt5xn","1.201€ - 1.500€","1.201€ - 1.500€"
"2080","R_2wjM9S1bmDlVcnn","1.201€ - 1.500€","1.201€ - 1.500€"
"2081","R_1KfgaOreMNSzkML","600€ or less","600€ or less"
"2082","R_20ZoyersF3hh9jG","1.201€ - 1.500€","1.201€ - 1.500€"
"2083","R_3MSsWEB0lvKSEAK","600€ or less","600€ or less"
"2084","R_5dmJqoTocQAsAVz","901€ - 1.200€","901€ - 1.200€"
"2085","R_3shPQ30BdjmotGj","600€ or less","600€ or less"
"2086","R_2amK6XKYbAWAAyL","1.201€ - 1.500€","1.201€ - 1.500€"
"2087","R_2dm913PiAxrALkX","601€ - 900€","601€ - 900€"
"2088","R_28RQzufWBDSbUWR","600€ or less","600€ or less"
"2089","R_12u8K6NxzwV8HwO","600€ or less","600€ or less"
"2090","R_1kLV2dD4UDrcNmH","1.501€ - 1.800€","1.501€ - 1.800€"
"2091","R_1jvKmjsZTLWGYbL","601€ - 900€","601€ - 900€"
"2092","R_6KBHmmK2FcoXIyd","901€ - 1.200€","901€ - 1.200€"
"2093","R_2XbANQ29ETCupaJ","1.201€ - 1.500€","1.201€ - 1.500€"
"2094","R_1dAF4xsCjRNPxNs","600€ or less","600€ or less"
"2095","R_1gMVkPZhWh5xzMt","1.201€ - 1.500€","1.201€ - 1.500€"
"2096","R_BX5v0y8AiQz5KeZ","600€ or less","600€ or less"
"2097","R_ZfVJax9AKPiwHLj","601€ - 900€","601€ - 900€"
"2098","R_2QfTzDD0XpodSTz","601€ - 900€","601€ - 900€"
"2099","R_0IA1pdJLZpcmhXz","901€ - 1.200€","901€ - 1.200€"
"2100","R_V2UG3OVW0YN0JO1","901€ - 1.200€","901€ - 1.200€"
"2101","R_3lKSVAAO5Loh6yn","600€ or less","600€ or less"
"2102","R_3KTSHMbo1t576xD","1.201€ - 1.500€","1.201€ - 1.500€"
"2103","R_SAJvQBqoqkAUtLb","600€ or less","600€ or less"
"2104","R_3ESX012qfEy8OM5","1.501€ - 1.800€","1.501€ - 1.800€"
"2105","R_3KJzkSNJEY7Wtfd","600€ or less","600€ or less"
"2106","R_1ZccysCkEYSZrJn","600€ or less","600€ or less"
"2107","R_3k1kdCsNtLrkaJo","600€ or less","600€ or less"
"2108","R_3HGLPNezMmID4oU","601€ - 900€","601€ - 900€"
"2109","R_3nl1hPwaRhH2r0A","600€ or less","600€ or less"
"2110","R_1GDlWBcDcKNN2Sl","600€ or less","600€ or less"
"2111","R_3foWDBQQac0c4ea","1.201€ - 1.500€","1.201€ - 1.500€"
"2112","R_u87m79YDzj18w93","601€ - 900€","601€ - 900€"
"2113","R_2zr2mS5oVpx3q8G","1.801€ - 2.100€","1.801€ - 2.100€"
"2114","R_3HpLZCo2sQiS5Bb","1.201€ - 1.500€","1.201€ - 1.500€"
"2115","R_2aIW6yXGvu36oGD","2.101€ - 2.400€","2.101€ - 2.400€"
"2116","R_22o9bhxMALVIhkl","601€ - 900€","601€ - 900€"
"2117","R_sSQwKe58EIz3cYh","600€ or less","600€ or less"
"2118","R_3PH4bypGrTa4KBg","More than 3.550€","More than 3.550€"
"2119","R_3Hnbe4SYwBr5aUr","600€ or less","600€ or less"
"2120","R_2uqDtXLAw9St5bN","600€ or less","600€ or less"
"2121","R_2Xolqcio8qpNIJY","1.201€ - 1.500€","1.201€ - 1.500€"
"2122","R_2YncBFjKTE2weoB","600€ or less","600€ or less"
"2123","R_3eaSyW5U2Bp5xpr","601€ - 900€","601€ - 900€"
"2124","R_BLKUxN3wI2wjTKV","601€ - 900€","601€ - 900€"
"2125","R_2uP8urPjzkwZzKy","901€ - 1.200€","901€ - 1.200€"
"2126","R_27CqIog440vZHGJ","901€ - 1.200€","901€ - 1.200€"
"2127","R_2wt6FAdYIQEWJmw","2.301€ - 2.750€","2.301€ - 2.750€"
"2128","R_33kJmhHNxAIHO5K","2.101€ - 2.400€","2.101€ - 2.400€"
"2129","R_12mZBj8Zx4Z2wzQ","1.201€ - 1.500€","1.201€ - 1.500€"
"2130","R_pDJFthAyn33XM3L","1.501€ - 1.800€","1.501€ - 1.800€"
"2131","R_1meNclbtmIQUN47","1.201€ - 1.500€","1.201€ - 1.500€"
"2132","R_vj0kWivrWUhX3l7","600€ or less","600€ or less"
"2133","R_3fN313nSzZ3fOQw","600€ or less","600€ or less"
"2134","R_1fe0RPa5msjojw9","601€ - 900€","601€ - 900€"
"2135","R_1KpatRVQDh6N39p","2.301€ - 2.750€","2.301€ - 2.750€"
"2136","R_3DejJ0PEwHsy2hZ","1.801€ - 2.100€","1.801€ - 2.100€"
